sentence,label
Teatr zorganizował premiery spektakl.,KULTURA
Laboratorium przetestowało prototyp.,NAUKA
Wojsko uczestniczy w misji międzynarodowej.,BEZPIECZEŃSTWO
Protest przeciw cenzurze mediów.,PROTESTY
Szkoła zmodernizowała sale lekcyjne.,EDUKACJA
Rolnicy zablokowali drogi krajowe.,PROTESTY
Naukowcy stworzyli kwantowy komputer.,TECHNOLOGIA
Giełda osiągnęła rekordowe obroty.,EKONOMIA
Badacze opracowali innowacyjny algorytm.,NAUKA
Ekologowie monitorują populację ptaków.,EKOLOGIA
Sprawca zaatakował nożem w metrze.,PRZESTĘPSTWO
Ogień objął całe piętro kamienicy.,POŻAR
Programiści naprawili krytyczne błędy.,TECHNOLOGIA
Startup opracował aplikację do nauki.,TECHNOLOGIA
Działacze walczą o czystość rzek.,EKOLOGIA
Bank obniżył oprocentowanie kredytów.,EKONOMIA
Koncern zainwestował w sztuczną inteligencję.,TECHNOLOGIA
Zawodnik doznał kontuzji podczas treningu.,SPORT
W pokoju stoi duża szafa.,BRAK_ZDARZENIA
Wynalazca opatentował nowe urządzenie.,NAUKA
Fundacja pomaga dzieciom z rodzin zastępczych.,SPOŁECZEŃSTWO
Rząd przedłużył stan wyjątkowy.,POLITYKA
Trener został zwolniony po słabych wynikach.,SPORT
Produkt został wycofany z rynku.,EKONOMIA
Pożar zniszczył magazyn z towarami.,POŻAR
Programiści wydali aktualizację systemu.,TECHNOLOGIA
Rowerzysta wpadł pod tramwaj.,WYPADEK
Obywatele demonstrowali przed parlamentem.,PROTESTY
Strajk nauczycieli zamknął szkoły.,PROTESTY
Demonstracja wsparcia dla uchodźców.,PROTESTY
Kolarz wygrał sprint na mecie.,SPORT
Susza dotknęła obszary rolnicze.,KLĘSKA_ŻYWIOŁOWA
Włamywacz okradł biuro w nocy.,PRZESTĘPSTWO
Kierowca zjechał z drogi na ślisko.,WYPADEK
Manifestanci zablokowali główną ulicę.,PROTESTY
Krokodyl zaatakował pływaka.,WYPADEK
Protest klimatyczny zgromadził młodzież.,PROTESTY
Piłkarz strzelił dwa gole w meczu.,SPORT
Film zdobył Oscara.,KULTURA
Kolarz wygrał etap górski.,SPORT
Procedura wymaga zgody komitetu.,ADMINISTRACJA
Społeczność lokalna zorganizowała piknik.,SPOŁECZEŃSTWO
Susza zniszczyła plony.,KLĘSKA_ŻYWIOŁOWA
Uniwersytet organizuje konferencję naukową.,EDUKACJA
Lawina śnieżna zablokowała przełęcz.,KLĘSKA_ŻYWIOŁOWA
Zanieczyszczenie powietrza przekroczyło normy.,EKOLOGIA
Autostrada łączy dwa miasta.,INFRASTRUKTURA
Ekologowie badają zanieczyszczenie wody.,EKOLOGIA
Urząd wydał decyzję o odmowie.,ADMINISTRACJA
Szkoła organizuje koła zainteresowań.,EDUKACJA
Auto uderzyło w słup na drodze.,WYPADEK
Ogień wybuchł w fabryce chemicznej.,POŻAR
Rekina zauważono przy plaży.,BEZPIECZEŃSTWO
Sklep ma szeroką ofertę produktów.,BRAK_ZDARZENIA
Burza piaskowa zatrzymała ruch.,KLĘSKA_ŻYWIOŁOWA
Pożar objął hale produkcyjną.,POŻAR
Tunel przeszedł testy bezpieczeństwa.,INFRASTRUKTURA
Służby przeprowadziły nalot.,BEZPIECZEŃSTWO
W wazonie są świeże kwiaty.,BRAK_ZDARZENIA
Obywatele podpisali petycję.,SPOŁECZEŃSTWO
W sklepie pracują miłe osoby.,BRAK_ZDARZENIA
W bibliotece panuje cisza.,BRAK_ZDARZENIA
Motocykl wpadł pod samochód osobowy.,WYPADEK
Urząd skarbowy przeprowadził kontrolę.,ADMINISTRACJA
Pacjent przeszedł rehabilitację po urazie.,MEDYCYNA
Laboratorium opublikowało przełomowe wyniki.,NAUKA
Motocykl wpadł pod samochód dostawczy.,WYPADEK
Sportowiec zdobył złoty medal.,SPORT
Pacjent przeszedł długą rehabilitację.,MEDYCYNA
Niebo jest zachmurzone nad miastem.,BRAK_ZDARZENIA
Prezydent podpisał ustawę budżetową.,POLITYKA
Drużyna wygrała mecz finałowy.,SPORT
Firma buduje fabrykę samochodów.,INFRASTRUKTURA
Prezydent spotkał się z liderami UE.,POLITYKA
W szklanej wazie stoją kwiaty.,BRAK_ZDARZENIA
Parlament uchwalił prawo o referendum.,POLITYKA
Rada miejska przyjęła uchwałę budżetową.,ADMINISTRACJA
Sędzia ogłosił wyrok skazujący.,PRAWO
Społeczność lokalną zorganizowała festyn.,SPOŁECZEŃSTWO
Przestępcy dokonali napadu na jubilera.,PRZESTĘPSTWO
Manifestacja wsparcia dla imigrantów.,PROTESTY
Prawnik wniósł kasację.,PRAWO
Pacjent otrzymał eksperymentalną terapię.,MEDYCYNA
Koszykarz zdobył 25 punktów.,SPORT
Eksperci stworzyli innowacyjną technologię.,NAUKA
Płonący las zagrażał wiosce.,POŻAR
Organizacja ratuje zwierzęta w lasach.,EKOLOGIA
Działacze edukują o ochronie przyrody.,EKOLOGIA
Klient pozwał firmę za szkody.,PRAWO
Firma wprowadziła sztuczną inteligencję.,TECHNOLOGIA
Zajęcia zostały odwołane.,EDUKACJA
Huragan uderzył w wybrzeże.,KLĘSKA_ŻYWIOŁOWA
Obywatele protestowali przeciw niesprawiedliwości.,SPOŁECZEŃSTWO
Lawina zasypała szlak górski.,KLĘSKA_ŻYWIOŁOWA
Bokser obronił tytuł mistrza świata.,SPORT
Ekonomiści przewidują recesję.,EKONOMIA
Statek uderzył w rafę koralową.,WYPADEK
Miasto remontuje ulice w centrum.,INFRASTRUKTURA
Skoczek narciarski ustanowił nowy rekord.,SPORT
Kontrwywiad śledzi podejrzanych.,BEZPIECZEŃSTWO
Fala upałów przetoczyła się przez kraj.,KLĘSKA_ŻYWIOŁOWA
Programiści stworzyli framework open-source.,TECHNOLOGIA
Władze otwierają nowy szpital.,INFRASTRUKTURA
Darczyńcy wsparli projekt.,SPOŁECZEŃSTWO
Protestujący obrzucili policję kamieniami.,PRZESTĘPSTWO
Huragan zniszczył wybrzeże.,KLĘSKA_ŻYWIOŁOWA
Dzieci bawią się na placu zabaw.,BRAK_ZDARZENIA
Festiwal filmowy rozpoczął się w Cannes.,KULTURA
Wojsko przeprowadziło ćwiczenia taktyczne.,BEZPIECZEŃSTWO
Na ścianie wisi obraz.,BRAK_ZDARZENIA
Obywatele wspierają seniorów.,SPOŁECZEŃSTWO
Inwestor buduje osiedle domków.,INFRASTRUKTURA
Wyrok został uprawomocniony.,PRAWO
Producent przeprosił za błąd.,EKONOMIA
Opozycja złożyła wniosek o wotum nieufności.,POLITYKA
Samolot awaryjnie lądował na lotnisku.,WYPADEK
Galeria kupiła obraz za miliony.,KULTURA
Opera zorganizowała koncert galowy.,KULTURA
Sędzia uniewinni oskarżonego.,PRAWO
Akcje spółki wzrosły o dziesięć procent.,EKONOMIA
Ziemia osunęła się pod domami.,KLĘSKA_ŻYWIOŁOWA
Park znajduje się przy ulicy Głównej.,BRAK_ZDARZENIA
Trybunał rozstrzygnął spór graniczny.,PRAWO
Pływak osiągnął czas kwalifikacyjny.,SPORT
Policja zatrzymała podejrzanego o kradzież.,PRZESTĘPSTWO
Szpital otrzymał nowoczesny sprzęt.,MEDYCYNA
Sejm uchwalił nowe prawo wyborcze.,POLITYKA
Włamywacz wszedł do domu przez okno.,PRZESTĘPSTWO
Książka leży na półce.,BRAK_ZDARZENIA
Wiatrak generuje czystą energię.,EKOLOGIA
Muzyk zagrał koncert na żywo.,KULTURA
Prokurator przedstawił dowody w sprawie.,PRAWO
Nauczyciel rozpoczął strajk.,PROTESTY
Sąd uniewinnił oskarżonego z zarzutów.,PRAWO
Ekologowie monitorują jakość gleby.,EKOLOGIA
Miasto wprowadza segregację śmieci.,EKOLOGIA
Parlament uchwalił reformę sądownictwa.,POLITYKA
Badacze zmapowali genom organizmu.,NAUKA
Pojazd spadł z mostu do rzeki.,WYPADEK
Rowerzysta upadł na oblodzonej drodze.,WYPADEK
Uczeni stworzyli sztuczną inteligencję.,NAUKA
Programiści naprawili błędy bezpieczeństwa.,TECHNOLOGIA
Urząd wprowadził e-usługi.,ADMINISTRACJA
Startup otrzymał inwestycję.,TECHNOLOGIA
Firma wprowadziła chmurę obliczeniową.,TECHNOLOGIA
Zawodnik zdobył medale na mistrzostwach.,SPORT
Pojazd uderzył w przydrożne drzewo.,WYPADEK
Urząd zamknięto z powodu remontu.,ADMINISTRACJA
Minister spotkał się z przedstawicielami związków.,POLITYKA
Ciężarówka uderzyła w barierki na autostradzie.,WYPADEK
Sąd orzekł odszkodowanie dla poszkodowanego.,PRAWO
Zawodnik zdobył medal na olimpiadzie.,SPORT
Szpital zakupił tomograf komputerowy.,MEDYCYNA
Urząd wprowadził nowe procedury.,ADMINISTRACJA
Tenisistka wygrała turniej WTA.,SPORT
Podpalacz zniszczył budynek przemysłowy.,PRZESTĘPSTWO
W akwarium pływają ryby.,BRAK_ZDARZENIA
Oszuści wyłudzili pieniądze przez telefon.,PRZESTĘPSTWO
Uniwersytet otwiera centrum badawcze.,EDUKACJA
Obywatele wsparli lokalny biznes.,SPOŁECZEŃSTWO
Pożar zniszczył zabytkowy kościół.,POŻAR
Mężczyzna pobił swoją żonę w domu.,PRZESTĘPSTWO
Szkoła organizuje zajęcia pozalekcyjne.,EDUKACJA
Nietoperze zaatakowały mieszkańców.,WYPADEK
Fundacja wspiera osoby z autyzmem.,SPOŁECZEŃSTWO
Sklep jest czysty i przestronny.,BRAK_ZDARZENIA
Samochód uderzył w drzewo.,WYPADEK
Rzeźba została zniszczona przez wandali.,PRZESTĘPSTWO
Samochód rozbił się o barierę ochronną.,WYPADEK
Przedsiębiorstwo zainwestowało w nową technologię.,EKONOMIA
Organizacja prowadzi program edukacyjny.,SPOŁECZEŃSTWO
Kontrwywiad wykrył szpiegów.,BEZPIECZEŃSTWO
Szpital uruchomił program profilaktyczny.,MEDYCYNA
Naukowcy zaobserwowali nową gwiazdę.,NAUKA
Badacze odkryli egzoplanetę.,NAUKA
Pływaczka ustanowiła nowy rekord świata.,SPORT
Parlament przyjął nowelizację kodeksu.,POLITYKA
Działacze sprzeciwiają się budowie zapory.,EKOLOGIA
Prawnik obronił klienta w sądzie.,PRAWO
Uczeń zdobył pierwszą nagrodę w olimpiadzie.,EDUKACJA
Władze otwierają centrum przesiadkowe.,INFRASTRUKTURA
Rowerzysta spadł z roweru na śliskiej drodze.,WYPADEK
Lekarz zdiagnozował rzadką chorobę.,MEDYCYNA
Zespół naukowy zdobył Nagrodę Nobla.,NAUKA
Bandyta zaatakował przypadkową osobę na ulicy.,PRZESTĘPSTWO
Ekologowie ostrzegają przed zanieczyszczeniem.,EKOLOGIA
Archeolodzy odnaleźli starożytne grobowce.,NAUKA
Firma technologiczna ogłosiła nowy produkt.,TECHNOLOGIA
Służby zabezpieczyły szczyt.,BEZPIECZEŃSTWO
Budynek biurowy stanął w płomieniach.,POŻAR
Straż graniczna wzmocniła patrole.,BEZPIECZEŃSTWO
Kolarz dojechał w czołówce stawki.,SPORT
W lodówce jest mleko i jajka.,BRAK_ZDARZENIA
Akcje spółki wzrosły o 20 procent.,EKONOMIA
Eksperci odkryli fossile dinozaura.,NAUKA
Ratownicy uratowali tonącego.,MEDYCYNA
Wydarzenie charytatywne odbyło się w parku.,SPOŁECZEŃSTWO
Lekarka pomogła urodzić dziecko.,MEDYCYNA
Manifestacja żądała dymisji ministra.,PROTESTY
Sąd nakazał eksmisję lokatorów.,PRAWO
Szkoła organizuje zajęcia wyrównawcze.,EDUKACJA
Protest studencki objął uniwersytet.,PROTESTY
Epidemia grypy objęła całe województwo.,MEDYCYNA
W ogrodzie jest altanka.,BRAK_ZDARZENIA
Auto uderzyło w znak drogowy.,WYPADEK
W parku rosną stare dęby.,BRAK_ZDARZENIA
Reprezentacja zakwalifikowała się do finału.,SPORT
Szpital wprowadził nową metodę leczenia.,MEDYCYNA
Budynek ma nowoczesną architekturę.,BRAK_ZDARZENIA
Ogień strawił tartак drewna.,POŻAR
Wojsko patroluje strefę przygraniczną.,BEZPIECZEŃSTWO
Firma przejęła konkurencyjne przedsiębiorstwo.,EKONOMIA
Trzęsienie ziemi uszkodziło budynki.,KLĘSKA_ŻYWIOŁOWA
Miasto modernizuje bibliotekę publiczną.,INFRASTRUKTURA
Straż graniczna kontroluje ruch.,BEZPIECZEŃSTWO
Prezydent miasta otworzył szkołę.,ADMINISTRACJA
Naukowcy skonstruowali nowy mikroskop.,NAUKA
Na balkonie jest miejsce na meble.,BRAK_ZDARZENIA
Prokurator przesłuchał podejrzanego.,PRAWO
Agencja bezpieczeństwa ostrzegła przed zagrożeniem.,BEZPIECZEŃSTWO
Zespół naukowy opublikował wyniki badań.,NAUKA
Płomienie zniszczyły sklep odzieżowy.,POŻAR
Festiwal filmowy zaprezentował nowe produkcje.,KULTURA
W muzeum są cenne eksponaty.,BRAK_ZDARZENIA
Fotel stoi przy oknie.,BRAK_ZDARZENIA
Obywatele tworzą straż sąsiedzką.,SPOŁECZEŃSTWO
Giełda reaguje na dane makroekonomiczne.,EKONOMIA
Ratownicy udzielili pomocy poszkodowanym.,MEDYCYNA
Biblioteka uzupełniła zbiory.,KULTURA
Rekord świata został pobity.,SPORT
Startup opracował chatbota AI.,TECHNOLOGIA
Sąd wydał wyrok w głośnej sprawie.,PRAWO
Służby specjalne przeszkoliły funkcjonariuszy.,BEZPIECZEŃSTWO
Płomienie objęły dach kościoła.,POŻAR
Szpital otworzył oddział intensywnej terapii.,MEDYCYNA
Wandal zniszczył mienie publiczne.,PRZESTĘPSTWO
Protest przeciwko korupcji.,PROTESTY
Ogień pojawił się w bloku mieszkalnym.,POŻAR
Stypendium przyznano najlepszym studentom.,EDUKACJA
Towar był niezgodny z opisem.,PRAWO
Fabryka wypuszcza toksyczne opary.,EKOLOGIA
Badania wykryły nowotwór w wczesnym stadium.,MEDYCYNA
Szkoła współpracuje z lokalnymi firmami.,EDUKACJA
Społeczność lokalna wsparła sąsiadów.,SPOŁECZEŃSTWO
Pociąg zderzył się z samochodem na przejeździe.,WYPADEK
Działacze protestują przeciwko wycinki.,EKOLOGIA
Chirurg usunął guz nowotworowy.,MEDYCYNA
Organizacja sadzi drzewa w parku.,EKOLOGIA
Sędzia oddalił apelację.,PRAWO
Prokurator zażądał kary maksymalnej.,PRAWO
Kontrola jakości wykryła defekt.,EKONOMIA
Oszuści wyłudzili kredyty bankowe.,PRZESTĘPSTWO
Dywan pokrywa podłogę.,BRAK_ZDARZENIA
Burmistrz spotkał się z mieszkańcami.,ADMINISTRACJA
Prawnik sporządził testament.,PRAWO
Złodziej ukradł samochód z parkingu.,PRZESTĘPSTWO
Kontrwywiad udaremnił spisek.,BEZPIECZEŃSTWO
Eksperci odkryli nowy minerał.,NAUKA
Laboratorium opracowało nową terapię.,NAUKA
Las rozciąga się na horyzoncie.,BRAK_ZDARZENIA
Panel solarny zasilił budynek.,TECHNOLOGIA
Samochód stoi na parkingu.,BRAK_ZDARZENIA
Festiwal muzyczny zgromadził fanów.,KULTURA
Złodzieje okradli mieszkanie podczas wakacji.,PRZESTĘPSTWO
Pisarz wydał nową powieść.,KULTURA
Złodziej ukradł portfel w autobusie.,PRZESTĘPSTWO
Fundacja finansuje kursy zawodowe.,SPOŁECZEŃSTWO
Premier ogłosił nowe przepisy.,POLITYKA
Policja zabezpieczyła wydarzenie masowe.,BEZPIECZEŃSTWO
Most łączy dwa brzegi rzeki.,BRAK_ZDARZENIA
Prezydent wziął udział w szczycie.,POLITYKA
Hakerzy włamali się do systemu bankowego.,PRZESTĘPSTWO
Ceny paliw osiągnęły rekordowy poziom.,EKONOMIA
Naukowcy sklonowali komórki macierzyste.,NAUKA
Ekologowie badają efekt zmian klimatu.,EKOLOGIA
Mróz zniszczył plantacje warzyw.,KLĘSKA_ŻYWIOŁOWA
Kierowca stracił kontrolę na zakręcie.,WYPADEK
Związkowcy zorganizowali strajk generalny.,PROTESTY
Zbiórka przekroczyła cel.,SPOŁECZEŃSTWO
Samochód wpadł do rzeki z mostu.,WYPADEK
Pacjent odzyskał przytomność po operacji.,MEDYCYNA
Sprawca zaatakował nożem przechodnia.,PRZESTĘPSTWO
Służby przeszkoliły funkcjonariuszy.,BEZPIECZEŃSTWO
Wolontariusze zebrali fundusze dla potrzebujących.,SPOŁECZEŃSTWO
Prezydent zawetował projekt ustawy.,POLITYKA
Spółka wypłaciła premie pracownikom.,EKONOMIA
W kinie są wygodne fotele.,BRAK_ZDARZENIA
Autobus jeździ co pół godziny.,BRAK_ZDARZENIA
Piłkarz strzelił zwycięskiego gola.,SPORT
Biurokracja opóźniła projekt.,ADMINISTRACJA
Mieszkanie ma trzy pokoje.,BRAK_ZDARZENIA
Trybunał uchylił decyzję sądu.,PRAWO
Prokurator wszczął śledztwo w sprawie.,PRAWO
Koncern zapowiedział fuzję z konkurentem.,EKONOMIA
Kierowca stracił panowanie na śliskiej drodze.,WYPADEK
Startup opracował system rozpoznawania twarzy.,TECHNOLOGIA
Władze modernizują dworzec kolejowy.,INFRASTRUKTURA
Hokeista zdobył hat-tricka w meczu.,SPORT
Startup pozyskał miliony w finansowaniu.,EKONOMIA
Manifestacja domagała się reform.,PROTESTY
Studenci zorganizowali protest.,PROTESTY
Miasto remontuje place i chodniki.,INFRASTRUKTURA
Manifestacja przeszła ulicami miasta.,PROTESTY
Miasto zakazuje spalania śmieci.,EKOLOGIA
Pisarz wydał bestseller.,KULTURA
Przestępca zaatakował przypadkową osobę.,PRZESTĘPSTWO
Gmina remontuje szkołę podstawową.,INFRASTRUKTURA
Reżyser nakręcił nowy film fabularny.,KULTURA
Uniwersytet przyjmuje studentów Erasmus.,EDUKACJA
Firma uruchomiła nową linię produkcyjną.,EKONOMIA
Gmina remontuje budynek urzędu.,INFRASTRUKTURA
Uniwersytet przyjmuje zagranicznych studentów.,EDUKACJA
Włamywacz dostał się przez balkon.,PRZESTĘPSTWO
Firma buduje centrum logistyczne.,INFRASTRUKTURA
Pacjent rozpoczął chemioterapię.,MEDYCYNA
Koncern zaprezentował nowy laptop.,TECHNOLOGIA
Działacze ratują zagrożone gatunki roślin.,EKOLOGIA
Hakerzy zaatakowali serwery rządowe.,PRZESTĘPSTWO
Prawnik negocjował ugodę.,PRAWO
Lekarz wykrył wczesne objawy choroby.,MEDYCYNA
Uniwersytet otworzył nowy kierunek studiów.,EDUKACJA
Sklep ma długie godziny otwarcia.,BRAK_ZDARZENIA
Pszczoły użądliły dziecko.,WYPADEK
Kierowca potrącił pieszego na przejściu.,WYPADEK
Koncern zainwestował w badania AI.,TECHNOLOGIA
Sąd rozpatrzył sprawę o alimenty.,PRAWO
Partia wygrała wybory parlamentarne.,POLITYKA
Teleskop wykrył nową planetę.,NAUKA
Pożar strawił budynek szkoły.,POŻAR
Aktywiści zorganizowali sit-in przed parlamentem.,PROTESTY
Burmistrz spotkał się z radnymi.,ADMINISTRACJA
Agencja zabezpieczyła szczyt dyplomatyczny.,BEZPIECZEŃSTWO
Kierowca nie zauważył pieszego na przejściu.,WYPADEK
Zespół medyczny walczył o życie poszkodowanego.,MEDYCYNA
Samochód wjechał w tył autobusu.,WYPADEK
Kontrwywiad zatrzymał szpiega.,BEZPIECZEŃSTWO
Bezrobocie spadło do minimum.,EKONOMIA
Malarz zaprezentował obrazy w galerii.,KULTURA
Pożar wybuchł w hali produkcyjnej.,POŻAR
Koncert klasyczny odbył się w filharmonii.,KULTURA
Gang ukradł samochody luksusowe.,PRZESTĘPSTWO
Uczeni udowodnili teorię fizyczną.,NAUKA
Inwestor rozbudowuje galerie handlową.,INFRASTRUKTURA
Rząd powołał nową komisję.,POLITYKA
Prokurator postawił zarzuty oskarżonemu.,PRAWO
Ekologowie protestują przeciw zanieczyszczeniom.,EKOLOGIA
Spółka zwiększyła wydatki na rozwój.,EKONOMIA
Badacze opracowali szczepionkę.,NAUKA
Mężczyzna okradł sklep jubilerski.,PRZESTĘPSTWO
Muzeum otworzyło nową wystawę.,KULTURA
Rząd rozpoczął budowę nowej autostrady.,INFRASTRUKTURA
Działacze edukują o recyklingu.,EKOLOGIA
Sędzia zawiesił wykonanie kary.,PRAWO
Autobus kursuje według rozkładu.,BRAK_ZDARZENIA
Koncern kupił firmę technologiczną.,TECHNOLOGIA
Władze otwierają nową linię metra.,INFRASTRUKTURA
Klinika otworzyła nowy oddział kardiologiczny.,MEDYCYNA
Oszust wyłudził pieniądze od starszej osoby.,PRZESTĘPSTWO
Gang dokonał napadu na konwój.,PRZESTĘPSTWO
Na placu jest pomnik.,BRAK_ZDARZENIA
Lekarka wykryła nowotwór wcześnie.,MEDYCYNA
Miasto inwestuje w panele słoneczne.,EKOLOGIA
Firma rozbudowuje port morski.,INFRASTRUKTURA
Tsunami zalało wyspę.,KLĘSKA_ŻYWIOŁOWA
Kontrwywiad wykrył komórkę szpiegowską.,BEZPIECZEŃSTWO
Startup opracował nową aplikację mobilną.,TECHNOLOGIA
Złodzieje ukradli motocykl z garażu.,PRZESTĘPSTWO
Agencja ostrzegła przed atakiem.,BEZPIECZEŃSTWO
Lawina błotna zasypała wioskę.,KLĘSKA_ŻYWIOŁOWA
Na parkingu jest dużo miejsc.,BRAK_ZDARZENIA
Wolontariusze sadzą drzewa w lesie.,SPOŁECZEŃSTWO
Pacjent przeszedł transplantację wątroby.,MEDYCYNA
Ławka znajduje się pod drzewem.,BRAK_ZDARZENIA
Koncern wprowadził usługę streamingu.,TECHNOLOGIA
Sejm przyjął uchwałę o stanie klęski.,POLITYKA
Rada odrzuciła projekt uchwały.,ADMINISTRACJA
Rower ma dwa koła.,BRAK_ZDARZENIA
Uniwersytet podpisał umowę z zagranicą.,EDUKACJA
Instytut przeprowadził eksperyment na stacji kosmicznej.,NAUKA
Wolontariusze sprzątali park miejski.,SPOŁECZEŃSTWO
Zegar pokazuje piątą godzinę.,BRAK_ZDARZENIA
Ciężarówka zderzyła się z busem.,WYPADEK
Społeczność lokalna organizuje jarmark.,SPOŁECZEŃSTWO
Agencja analizuje zagrożenia.,BEZPIECZEŃSTWO
Straż graniczna przechwyciła przemytników.,BEZPIECZEŃSTWO
Uczeń reprezentuje szkołę na olimpiadzie.,EDUKACJA
Bank ogłosił wyniki finansowe za kwartał.,EKONOMIA
Piłkarka została najlepszą strzelczynią ligi.,SPORT
Recykling zmniejszył ilość odpadów.,EKOLOGIA
Naukowcy testują kwantowe szyfrowanie.,TECHNOLOGIA
Firma ogłosiła program zwolnień.,EKONOMIA
Programiści zintegrowali systemy.,TECHNOLOGIA
Tornado zniszczyło miasteczko.,KLĘSKA_ŻYWIOŁOWA
Ogień wybuchł w sklepie spożywczym.,POŻAR
Motocykl zderzył się z samochodem osobowym.,WYPADEK
Port obsługuje więcej statków.,INFRASTRUKTURA
Firma technologiczna uruchomiła chmurę.,TECHNOLOGIA
Organizacja wsparła rodziny w kryzysie.,SPOŁECZEŃSTWO
Łódź zatonęła na jeziorze.,WYPADEK
Teatr wystawił premierę spektaklu.,KULTURA
Chirurg przeprowadził operację serca.,MEDYCYNA
Firma uruchomiła centrum danych.,TECHNOLOGIA
Wojsko testuje nowy sprzęt.,BEZPIECZEŃSTWO
Badacze udowodnili hipotezę naukową.,NAUKA
Kontrwywiad monitoruje podejrzanych.,BEZPIECZEŃSTWO
Policja rozbiła gang przestępczy.,BEZPIECZEŃSTWO
Obywatele zainicjowali petycję.,SPOŁECZEŃSTWO
Instytut badawczy uruchomił akcelerator.,NAUKA
Sprawca pobił przechodnia na ulicy.,PRZESTĘPSTWO
Miasto buduje nową przeprawę mostową.,INFRASTRUKTURA
Programiści opracowali innowacyjną aplikację.,TECHNOLOGIA
Koncern przeprowadził restrukturyzację.,EKONOMIA
Gmina buduje nowy chodnik.,INFRASTRUKTURA
Drużyna zdobyła Puchar Polski.,SPORT
Organizacja sprząta teren parku narodowego.,EKOLOGIA
Płomienie strawiły budynek gospodarczy.,POŻAR
Bank udzielił kredytu na inwestycje.,EKONOMIA
Lekarka pomogła urodzić bliźnięta.,MEDYCYNA
Reprezentacja przegrała po dogrywce.,SPORT
Szkoła wprowadza nowy program nauczania.,EDUKACJA
Film zdobył nagrodę na festiwalu.,KULTURA
Lotnisko rozbudowuje terminal.,INFRASTRUKTURA
Rzeka została zanieczyszczona chemikaliami.,EKOLOGIA
Pożar zniszczył magazyn towarów.,POŻAR
Fala powodziowa zalała miasto.,KLĘSKA_ŻYWIOŁOWA
Koncert symfoniczny odbył się w operze.,KULTURA
Wiatrak obraca się na wietrze.,BRAK_ZDARZENIA
Fundacja przekazała dary dla dzieci.,SPOŁECZEŃSTWO
Reprezentacja pokonała rywali 3-0.,SPORT
Fundacja przekazała sprzęt dla szpitala.,SPOŁECZEŃSTWO
Uczen wygrał olimpiadę przedmiotową.,EDUKACJA
Minister podał się do dymisji.,POLITYKA
Rzeka wylała i zalała pola.,KLĘSKA_ŻYWIOŁOWA
Muzyk wydał nowy album studyjny.,KULTURA
Lekkoatleta pobił rekord kraju.,SPORT
Instytut badawczy otrzymał grant na projekt.,NAUKA
Płomienie objęły fabrykę mebli.,POŻAR
Gradobicie zniszczyło dachy budynków.,KLĘSKA_ŻYWIOŁOWA
Rada powiatu przyjęła strategię rozwoju.,ADMINISTRACJA
Przedsiębiorstwo podpisało kontrakt wart miliony.,EKONOMIA
Rząd zwiększył budżet na inwestycje.,EKONOMIA
Prąd został przywrócony po awarii.,INFRASTRUKTURA
Dwa autobusy zderzyły się czołowo.,WYPADEK
Rabuś napadł na stację benzynową.,PRZESTĘPSTWO
Związkowcy negocjują z pracodawcą.,PROTESTY
Budynek ma windę i schody.,BRAK_ZDARZENIA
Pisarz otrzymał literacką nagrodę.,KULTURA
Artysta odsłonił rzeźbę w parku.,KULTURA
Na przystanku czeka kilka osób.,BRAK_ZDARZENIA
Ogień wybuchł w restauracji.,POŻAR
Górnicy protestowali przed ministerstwem.,PROTESTY
W parku rosną duże drzewa.,BRAK_ZDARZENIA
Chemicy syntezowali nowy materiał.,NAUKA
Zespół medyczny uratował życie pacjenta.,MEDYCYNA
Fundacja otworzyła schronisko dla bezdomnych.,SPOŁECZEŃSTWO
Prezydent zawetował ustawę o mediach.,POLITYKA
Badacze opracowali model klimatyczny.,NAUKA
Zespół naukowy przeprowadził eksperyment.,NAUKA
Pies pogryzł przechodnia.,WYPADEK
Wojewoda nadzoruje działania gminy.,ADMINISTRACJA
Burza zniszczyła sieć elektryczną.,KLĘSKA_ŻYWIOŁOWA
Przestępca zastrzelił policjanta.,PRZESTĘPSTWO
Prokurator wniósł akt oskarżenia.,PRAWO
Organizacja sprząta brzeg jeziora.,EKOLOGIA
Bank centralny utrzymał stopy bez zmian.,EKONOMIA
Hokeista asystował przy trzech bramkach.,SPORT
Piłkarka została MVP turnieju.,SPORT
Pacjent wyzdrowiał po długim leczeniu.,MEDYCYNA
Parlament debatował nad budżetem państwa.,POLITYKA
Producent obniżył ceny produktów.,EKONOMIA
Zawodnik zakwalifikował się do finału.,SPORT
Inwestor kupił akcje za miliony złotych.,EKONOMIA
Lampa świeci jasnym światłem.,BRAK_ZDARZENIA
Społeczność lokalna remontuje świetlicę.,SPOŁECZEŃSTWO
Pracownicy strajkują o podwyżki.,PROTESTY
Startup stworzył platformę e-learning.,TECHNOLOGIA
Obywatele pomagają uchodźcom.,SPOŁECZEŃSTWO
Uniwersytet podpisuje umowy z zagranicznymi uczelniami.,EDUKACJA
Szkoła zamknięta z powodu remontu.,ADMINISTRACJA
Odnawialne źródła energii zyskują popularność.,EKOLOGIA
Piłkarz strzelił hat-tricka.,SPORT
Hokeista został zawieszony na mecz.,SPORT
Aplikacja przekroczyła milion pobrań.,TECHNOLOGIA
Minister finansów przedstawił plan oszczędności.,POLITYKA
Bokser nokautował przeciwnika.,SPORT
